"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"rDummy.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rDummy",50,48,54,45,51,49,45,45,46,48
"rDummy.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rDummy",0.594711060867436,0.304625581377696,0.307690156998803,0.182825866404481,0.163669648562432,0.184488078180655,0.238179558416289,0.454567851657421,0.278639139780207,0.239010046892259
"rPier1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier1",27,19,29,24,25,27,26,27,26,32
"rPier1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier1",0.598543194939512,0.712134165824871,0.597552712266293,0.625789000701919,0.563201077191289,0.566884676234498,0.569934732856153,0.547721583530901,0.565735937080581,0.507522240655947
"rPier2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier2",22,27,25,21,26,22,18,17,20,16
"rPier2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier2",0.584058446604938,0.526728047608874,0.545136320840953,0.365811891913273,0.295961445599661,0.439835410610712,0.435648969487986,0.631508648658914,0.43102694531281,0.48307475113565
"Ship.NumberIn","OUTPUT VALUE","Number In","Entity","Ship",51,48,54,45,51,49,45,45,47,49
"Ship.NumberOut","OUTPUT VALUE","Number Out","Entity","Ship",47,44,54,43,51,47,42,43,46,47
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",47,44,54,43,51,47,42,43,46,47
"Pier 1 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 1 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"rDummy.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rDummy",0.594711060867436,0.304625581377696,0.307690156998803,0.182825866404481,0.163669648562432,0.184488078180655,0.238179558416289,0.454567851657421,0.278639139780207,0.239010046892259
"rDummy.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rDummy",1,1,1,1,1,1,1,1,1,1
"rDummy.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rDummy",0.594711060867436,0.304625581377696,0.307690156998803,0.182825866404481,0.163669648562432,0.184488078180655,0.238179558416289,0.454567851657421,0.278639139780207,0.239010046892259
"rPier1.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier1",0.598543194939512,0.712134165824871,0.597552712266293,0.625789000701919,0.563201077191289,0.566884676234498,0.569934732856153,0.547721583530901,0.565735937080581,0.507522240655947
"rPier1.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier1",1,1,1,1,1,1,1,1,1,1
"rPier1.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier1",0.598543194939512,0.712134165824871,0.597552712266293,0.625789000701919,0.563201077191289,0.566884676234498,0.569934732856153,0.547721583530901,0.565735937080581,0.507522240655947
"rPier2.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier2",0.584058446604938,0.526728047608874,0.545136320840953,0.365811891913273,0.295961445599661,0.439835410610712,0.435648969487986,0.631508648658914,0.43102694531281,0.48307475113565
"rPier2.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier2",1,1,1,1,1,1,1,1,1,1
"rPier2.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier2",0.584058446604938,0.526728047608874,0.545136320840953,0.365811891913273,0.295961445599661,0.439835410610712,0.435648969487986,0.631508648658914,0.43102694531281,0.48307475113565
"Seize Dummy Resource.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Dummy Resource.Queue",0.279346791117309,0.293736791567015,2.69410927539061E-02,5.72130394842255E-02,0.113372240114034,3.15766609150103E-02,0.172632269093397,0.531832652021983,9.86695496094285E-02,4.83916612678284E-02
"Seize Dummy Resource.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Seize Dummy Resource.Queue",46.2266472299475,52.8726224820627,4.31057484062497,10.9849035809713,19.2065912663776,5.56780306746304,33.1453956659322,102.111869188221,18.5327154049014,8.71049902820911
"Ship.NVATime","TALLY AVERAGE","NVA Time","Entity","Ship",0,0,0,0,0,0,0,0,0,0
"Ship.OtherTime","TALLY AVERAGE","Other Time","Entity","Ship",102.461933268868,44.0902555140103,49.2304251198085,36.7352438542957,27.7275639917532,33.9144041591672,48.8050500526632,87.2805873879503,52.3356992978475,43.9371660670025
"Ship.TotalTime","TALLY AVERAGE","Total Time","Entity","Ship",485.872071889436,446.438144804864,361.371245257593,360.893868867024,317.486394413303,343.868819257655,405.81995409886,555.457162318928,383.086486526203,358.49010318446
"Ship.TranTime","TALLY AVERAGE","Transfer Time","Entity","Ship",125,125,125,125,125,125,125,125,125,125
"Ship.VATime","TALLY AVERAGE","VA Time","Entity","Ship",211.019864855844,232.094364251311,182.83024529716,187.662795683804,145.552239155173,179.14968424092,196.501980118413,236.315316478189,187.218071823454,180.657108322691
"Ship.WaitTime","TALLY AVERAGE","Wait Time","Entity","Ship",47.3902737647238,45.2535250395425,4.31057484062497,11.4958293289234,19.2065912663776,5.80473085756785,35.5129239277845,106.861258452789,18.5327154049014,8.89582879476675
"Ship.WIP","DSTAT AVERAGE","WIP","Entity","Ship",2.76151736043369,2.50020776395811,2.25857028285996,1.8722647985039,1.87405163368964,1.92128019631125,2.04486775207605,2.80766833078415,2.04178534566711,1.96818439987472
"Statistic 1","DSTAT AVERAGE","Time Persistent","User Specified","Statistic 1",21.5278570419449,21.4536205860164,26.225528305643,19.4238226217425,23.4974330210444,22.9943068956094,19.9578878054433,20.0167797419992,23.5122665916589,23.8789543405717
